2013/12/24,Z5016,49.192000,49.006000,49.099000,0.186000
2013/12/24,Z5017,49.747000,51.394000,50.570500,1.647000
2013/12/24,Z5018,48.657000,50.700000,49.678500,2.043000
2013/12/24,Z5019,52.392000,51.346000,51.869000,1.046000
2013/12/24,Z5020,48.159000,49.270000,48.714500,1.111000
2013/12/24,Z5021,48.280000,50.569000,49.424500,2.289000
2013/12/25,Z5022,50.367000,50.112000,50.239500,0.255000
2013/12/25,Z5023,50.829000,49.891000,50.360000,0.938000
2013/12/25,Z5024,51.207000,50.327000,50.767000,0.880000
2013/12/25,Z5025,50.009000,51.587000,50.798000,1.578000
2013/12/25,Z5026,52.048000,50.959000,51.503500,1.089000
2013/12/25,Z5027,52.178000,50.146000,51.162000,2.032000
2013/12/25,Z5028,50.316000,49.163000,49.739500,1.153000
2013/12/25,Z5029,50.742000,50.416000,50.579000,0.326000
2013/12/26,Z5030,50.416000,51.211000,50.813500,0.795000
*,0,0,0,0,0
